route_key,service,method,path,normalized_path,frontend_call_sites,handler,handler_file,handler_line,handler_service_calls,store_calls,receiver_client_calls,internal_package_calls,external_package_calls
backup|GET|/backup/restore-points,backup,GET,/backup/restore-points,/backup/restore-points,web/dashboard/src/lib/backup.ts:96,handleListRestorePoints,services/backup/handler.go,267,,ListRestorePoints,,,
backup|POST|/backup/restore-points/{param}/restore,backup,POST,/backup/restore-points/{id}/restore,/backup/restore-points/{param}/restore,web/dashboard/src/lib/backup.ts:101,handleRestore,services/backup/handler.go,281,audit,,,,strings.TrimSpace
backup|GET|/backup/metrics,backup,GET,/backup/metrics,/backup/metrics,web/dashboard/src/lib/backup.ts:105,handleGetMetrics,services/backup/handler.go,299,,GetMetrics,,,
certs|POST|/certs/ca,certs,POST,/certs/ca,/certs/ca,web/dashboard/src/lib/certs.ts:434,handleCreateCA,services/certs/handler.go,132,CreateCA,"GetCA, CreateCA, ListCAs, CountChildCAs, CountCertificatesByCA, ListCertificates, RevokeCertificate, DeleteCertificate, DeleteCA, CreateProfile, GetProfile, ListProfiles, ReserveOTSIndex, CreateCertificate, GetCertificate, GetPQCReadiness, ListRevokedByCA","s.keycore.EnsureKey, s.exposure.Retire",,"crypto/rand.Int, crypto/x509.CreateCertificate, crypto/x509.MarshalPKIXPublicKey, crypto/x509.CreateRevocationList, encoding/json.Marshal, encoding/json.MarshalIndent, encoding/pem.EncodeToMemory, errors.New, fmt.Errorf, fmt.Sprintf, math/big.NewInt, strings.TrimSpace, strings.EqualFold, strings.Contains, strings.ToLower, strings.TrimPrefix"
certs|GET|/certs/ca,certs,GET,/certs/ca,/certs/ca,web/dashboard/src/lib/certs.ts:429,handleListCAs,services/certs/handler.go,147,ListCAs,ListCAs,,,"errors.New, strings.TrimSpace"
certs|DELETE|/certs/ca/{param},certs,DELETE,/certs/ca/{id},/certs/ca/{param},web/dashboard/src/lib/certs.ts:450,handleDeleteCA,services/certs/handler.go,161,DeleteCA,"GetCA, CountChildCAs, CountCertificatesByCA, ListCertificates, RevokeCertificate, DeleteCertificate, DeleteCA",s.exposure.Retire,,"errors.Is, strconv.ParseBool, strings.TrimSpace, errors.New, fmt.Errorf, strings.EqualFold, strings.Contains, strings.ToLower"
certs|POST|/certs,certs,POST,/certs,/certs,web/dashboard/src/lib/certs.ts:482,handleIssueCert,services/certs/handler.go,179,IssueCertificate,"GetProfile, GetCA, ReserveOTSIndex, CreateCertificate, GetCertificate",,,"crypto/rand.Int, crypto/x509.CreateCertificate, encoding/pem.EncodeToMemory, errors.New, math/big.NewInt, strings.TrimSpace, time.Now, time.Duration, time.Parse"
certs|POST|/certs/sign-csr,certs,POST,/certs/sign-csr,/certs/sign-csr,web/dashboard/src/lib/certs.ts:499,handleSignCSR,services/certs/handler.go,198,IssueCertificate,"GetProfile, GetCA, ReserveOTSIndex, CreateCertificate, GetCertificate",,,"strings.TrimSpace, crypto/rand.Int, crypto/x509.CreateCertificate, encoding/pem.EncodeToMemory, errors.New, math/big.NewInt, time.Now, time.Duration, time.Parse"
certs|GET|/certs,certs,GET,/certs,/certs,"web/dashboard/src/components/v3/tabs/ComplianceTab.tsx:337, web/dashboard/src/lib/certs.ts:474",handleListCerts,services/certs/handler.go,223,ListCertificates,ListCertificates,,,"strconv.Atoi, strings.TrimSpace, errors.New"
certs|GET|/certs/{param},certs,GET,/certs/{id},/certs/{param},,handleGetCert,services/certs/handler.go,241,GetCertificate,GetCertificate,,,"errors.Is, errors.New, strings.TrimSpace"
certs|DELETE|/certs/{param},certs,DELETE,/certs/{id},/certs/{param},web/dashboard/src/lib/certs.ts:548,handleDeleteCert,services/certs/handler.go,332,DeleteCertificate,"GetCertificate, DeleteCertificate",,,"errors.Is, errors.New, strings.TrimSpace, strings.EqualFold, strings.Contains, strings.ToLower"
certs|GET|/certs/download/{param},certs,GET,/certs/download/{id},/certs/download/{param},web/dashboard/src/lib/certs.ts:577,handleDownloadCert,services/certs/handler.go,259,DownloadCertificate,GetCA,,,"errors.Is, strconv.ParseBool, strings.TrimSpace, crypto/x509.MarshalPKIXPublicKey, encoding/json.Marshal, encoding/json.MarshalIndent, encoding/pem.EncodeToMemory, errors.New, fmt.Sprintf, strings.EqualFold, software.sslmate.com/src/go-pkcs12.EncodeTrustStore"
certs|POST|/certs/{param}/renew,certs,POST,/certs/{id}/renew,/certs/{param}/renew,web/dashboard/src/lib/certs.ts:515,handleRenewCert,services/certs/handler.go,289,RenewCertificate,GetCertificate,,,"errors.New, strings.TrimSpace, strings.ToLower"
